a
abaissa
abaissai
abaissaient
abaissait
abaissant
abaisse
abaisse
abaissee
abaissees
abaissement
abaissent
abaisser
abaissera
abaisserai
abaisseraient
abaisserais
abaisserait
abaisserent
abaisses
abaisses
abaissez
abaissons
abandon
abandonna
abandonnai
abandonnaient
abandonnais
abandonnait
abandonnames
abandonnant
abandonnas
abandonnat
abandonne
abandonne
abandonnee
abandonnees
abandonnent
abandonner
abandonnera
abandonnerai
abandonneraient
abandonnerais
abandonnerait
abandonneras
abandonnerent
abandonnerez
abandonneriez
abandonnerions
abandonnerons
abandonneront
abandonnes
abandonnes
abandonnez
abandonniez
abandonnions
abandonnons
abandons
abasourdi
abasourdie
abasourdir
abasourdis
abat
abatardi
abatardies
abatardir
abatardirai
abatardissant
abatis
abatjour
abats
abatson
abattage
abattages
abattaient
abattais
abattait
abattant
abattants
abatte
abattement
abattements
abattent
abattes
abatteur
abattez
abattiez
abattions
abattirent
abattis
abattit
abattoir
abattoirs
abattons
abattra
abattrai
abattraient
abattrais
abattrait
abattras
abattre
abattrez
abattriez
abattrons
abattront
abattu
abattue
abattues
abattus
abbatial
abbatiale
abbatiales
abbaye
abbayes
abbe
abbes
abbesse
abbesses
abces
abdication
abdications
abdiqua
abdiquai
abdiquaient
abdiquais
abdiquait
abdiquant
abdique
abdique
abdiquee
abdiquer
abdiquera
abdiquerais
abdiquerait
abdiquez
abdomen
abdominal
abdominale
abdominales
abdominaux
abdos
abeille
abeilles
aberrant
aberrante
aberrantes
aberrants
aberration
aberrations
abeti
abetir
abetis
abetissait
abetissement
abetit
abhorrais
abhorrait
abhorrant
abhorre
abhorre
abhorree
abhorrer
abhorres
abhorrez
abima
abimai
abimaient
abimait
abimant
abime
abime
abimee
abimees
abiment
abimer
abimera
abimerai
abimerais
abimerait
abimeras
abimerez
abimeront
abimes
abimes
abimez
abimions
abimons
abject
abjecte
abjectes
abjection
abjections
abjects
abjurant
abjuration
abjurations
abjure
abjure
abjurer
abjurez
abjurons
ablation
ablations
able
ablette
ablettes
ablution
ablutions
abnegation
aboi
aboie
aboiement
aboiements
aboient
aboiera
aboierait
aboieront
aboies
abois
aboli
abolie
abolies
abolir
abolira
abolirait
aboliras
abolis
abolissaient
abolissais
abolissait
abolissant
abolissent
abolissions
abolissons
abolit
